c_of_o_id,plot_number,block_number,area_name,state,owner_name,date_registered,status
C-OF-O-19257379,24,22,Victoria Island,Lagos,Mark Ojo,2011-11-07,Verified
C-OF-O-3635D05E,174,44,Trans-Ekulu,Enugu,Patience Okonkwo,2016-01-11,Verified
C-OF-O-464C926C,60,11,GRA,Enugu,Hope Balogun,2024-07-16,Verified
C-OF-O-B4026562,162,34,Victoria Island,Lagos,Hope Chukwu,2017-04-10,Verified
C-OF-O-67B160C7,125,8,Onitsha GRA,Anambra,Charity Akinwale,2012-02-25,Verified
C-OF-O-9D0058C6,137,46,Enugu-Ukwu,Anambra,Cornelius Ekwueme,2020-10-03,Verified
C-OF-O-1BBAABC7,9,8,Ikoyi,Lagos,Patience Okafor,2012-07-20,Verified
C-OF-O-1392DAFC,10,33,Surulere,Lagos,Philip Adetokunbo,2012-07-30,Verified
C-OF-O-4A7CB73F,46,19,Surulere,Lagos,Benjamin Obi,2021-04-04,Verified
C-OF-O-6881F5C5,141,19,Onitsha GRA,Anambra,Gloria Olawale,2016-02-01,Verified
C-OF-O-FB19C2D0,22,6,Trans-Ekulu,Enugu,Hope Balogun,2014-11-19,Verified
C-OF-O-FA7C51EF,48,16,Amawbia,Anambra,Juliet Ogunleye,2019-01-05,Verified
C-OF-O-E1C7CFDC,188,13,Trans-Ekulu,Enugu,Emmanuel Eze,2012-10-03,Verified
C-OF-O-13FC6A35,80,48,Trans-Ekulu,Enugu,Esther Okonkwo,2016-02-05,Verified
C-OF-O-88F76E0E,177,15,Nnewi,Anambra,Benjamin Oyekan,2019-02-28,Verified
C-OF-O-5031C002,13,48,Onitsha GRA,Anambra,Peter Okonkwo,2015-10-14,Verified
C-OF-O-55F7D627,44,48,New Haven,Enugu,Blessing Eze,2022-07-08,Verified
C-OF-O-FC2D5C0E,126,4,Onitsha GRA,Anambra,Hope Akinwale,2016-09-16,Verified
C-OF-O-4956AA89,192,37,New Haven,Enugu,Esther Oyekan,2023-07-20,Verified
C-OF-O-6AE23030,146,25,Ikeja GRA,Lagos,Victoria Eze,2020-12-29,Verified
C-OF-O-29F0B7B4,108,42,Victoria Island,Lagos,Sarah Nnamani,2024-04-13,Verified
C-OF-O-277952B0,90,41,Victoria Island,Lagos,Elizabeth Eze,2014-09-13,Verified
C-OF-O-E26EEF2D,3,32,Victoria Island,Lagos,Peace Adetokunbo,2024-04-15,Verified
C-OF-O-73EF8E63,85,45,Victoria Island,Lagos,Esther Olawale,2013-10-19,Verified
C-OF-O-55F29EBD,151,6,Surulere,Lagos,Juliet Akinwale,2011-07-12,Verified
C-OF-O-6B85605F,86,26,Enugu-Ukwu,Anambra,Patience Olawale,2022-12-14,Verified
C-OF-O-60EA53CD,92,48,Surulere,Lagos,Deborah Adetokunbo,2012-06-05,Verified
C-OF-O-40A0232A,136,34,Ikeja GRA,Lagos,Michael Adetokunbo,2013-06-06,Verified
C-OF-O-8196F786,168,48,Surulere,Lagos,Simon Nnamani,2016-12-29,Verified
C-OF-O-6E16C633,57,20,New Haven,Enugu,Emmanuel Obi,2018-07-30,Verified
C-OF-O-6E23AC52,110,12,Ikoyi,Lagos,Charity Akinwale,2023-12-28,Verified
C-OF-O-7301F95E,185,9,Ikeja GRA,Lagos,Samuel Oshodi,2016-05-27,Verified
C-OF-O-149F605C,147,8,Trans-Ekulu,Enugu,Patience Nnamani,2014-05-08,Verified
C-OF-O-3EAFCC5D,14,25,Enugu-Ukwu,Anambra,Peter Olawale,2024-09-01,Verified
C-OF-O-80ED17BB,163,31,Surulere,Lagos,Victoria Adetokunbo,2014-06-08,Verified
C-OF-O-677F5D7D,141,4,Trans-Ekulu,Enugu,Blessing Olawale,2016-01-31,Verified
C-OF-O-8C3D8B79,132,43,Enugu-Ukwu,Anambra,John Eze,2015-08-22,Verified
C-OF-O-F44415C1,68,12,Uwani,Enugu,Nathaniel Olawale,2013-10-26,Verified
C-OF-O-4344F6B0,48,4,Amawbia,Anambra,Joy Obasanjo,2019-06-29,Verified
C-OF-O-0217B1DA,62,44,Enugu-Ukwu,Anambra,Juliet Ibrahim,2011-04-13,Verified
C-OF-O-06D4C581,171,44,Surulere,Lagos,Daniel Oshodi,2014-01-29,Verified
C-OF-O-610CE5FF,87,43,Amawbia,Anambra,David Eze,2023-12-02,Verified
C-OF-O-B58B69BE,118,14,GRA,Enugu,Stephen Olawale,2020-03-08,Verified
C-OF-O-5A13ED7D,117,12,Ikeja GRA,Lagos,Stephen Oyekan,2024-02-09,Verified
C-OF-O-165B0FBE,182,44,Uwani,Enugu,Deborah Okafor,2022-06-23,Verified
C-OF-O-EB80B93A,140,23,Ikeja GRA,Lagos,Simon Ojo,2012-08-14,Verified
C-OF-O-36F29D6A,156,34,Ikeja GRA,Lagos,Peace Chukwu,2012-05-07,Verified
C-OF-O-2385B718,142,33,Uwani,Enugu,Stephen Ekwueme,2019-09-17,Verified
C-OF-O-7008BAFD,188,16,Ikeja GRA,Lagos,Esther Ojo,2016-07-19,Verified
C-OF-O-ABB9D2E2,99,11,Victoria Island,Lagos,Deborah Uche,2023-07-15,Verified
C-OF-O-2B30EA09,148,9,GRA,Enugu,Samuel Chukwu,2017-05-23,Verified
C-OF-O-43988EBC,142,19,New Haven,Enugu,Mary Okafor,2019-03-31,Verified
C-OF-O-73A98CEC,10,27,Amawbia,Anambra,Mark Ibrahim,2011-04-11,Verified
C-OF-O-49D3CF69,79,40,Enugu-Ukwu,Anambra,Elizabeth Eze,2017-06-25,Verified
C-OF-O-88934347,125,7,Enugu-Ukwu,Anambra,Elizabeth Olawale,2021-06-28,Verified
C-OF-O-60903FF6,61,42,Surulere,Lagos,Simon Ibrahim,2016-04-22,Verified
C-OF-O-E467A259,176,24,Victoria Island,Lagos,Philip Eze,2021-10-30,Verified
C-OF-O-BF08CDC3,33,2,Victoria Island,Lagos,Simon Abiola,2016-03-24,Verified
C-OF-O-102BD7EB,43,40,Victoria Island,Lagos,Blessing Ekwueme,2015-11-24,Verified
C-OF-O-7465B8C7,155,6,Ikoyi,Lagos,David Ibrahim,2012-01-02,Verified
C-OF-O-00BF3FCE,31,31,Ikoyi,Lagos,Nathaniel Balogun,2018-04-30,Verified
C-OF-O-C0EBDB6D,2,14,Trans-Ekulu,Enugu,Juliet Chukwu,2020-03-23,Verified
C-OF-O-26CE3797,152,19,New Haven,Enugu,Simon Oyekan,2013-11-09,Verified
C-OF-O-EF5C850B,78,37,Victoria Island,Lagos,Faith Olawale,2019-11-01,Verified
C-OF-O-E48B7DE1,73,37,Nnewi,Anambra,Blessing Eze,2019-01-25,Verified
C-OF-O-E792D256,13,49,Uwani,Enugu,Elizabeth Uche,2012-05-10,Verified
C-OF-O-76538FE4,108,46,Victoria Island,Lagos,Nathaniel Obasanjo,2019-09-23,Verified
C-OF-O-A75C9766,199,23,Onitsha GRA,Anambra,Benjamin Ogunleye,2023-11-16,Verified
C-OF-O-B6AB1F46,189,30,Uwani,Enugu,Angela Balogun,2016-07-01,Verified
C-OF-O-7DC09643,194,29,Enugu-Ukwu,Anambra,Elizabeth Ekwueme,2019-10-26,Verified
C-OF-O-0036B293,27,40,Onitsha GRA,Anambra,John Okonkwo,2018-10-18,Verified
C-OF-O-16C35CC3,70,32,Enugu-Ukwu,Anambra,Deborah Obasanjo,2013-10-08,Verified
C-OF-O-00CCCA45,68,47,New Haven,Enugu,Joseph Obi,2020-10-11,Verified
C-OF-O-9C18345C,182,2,New Haven,Enugu,Nathaniel Balogun,2013-01-16,Verified
C-OF-O-9B2290D9,158,17,Victoria Island,Lagos,Charity Nnamani,2018-08-14,Verified
C-OF-O-A9031FA2,53,35,Ikeja GRA,Lagos,Joshua Obasanjo,2019-01-16,Verified
C-OF-O-274EF0C2,118,23,Enugu-Ukwu,Anambra,Mary Akinwale,2014-02-04,Verified
C-OF-O-500F9071,47,36,Amawbia,Anambra,Philip Okafor,2014-09-28,Verified
C-OF-O-FC35A3BC,195,19,Nnewi,Anambra,Mary Olawale,2024-01-26,Verified
C-OF-O-98546BCE,48,48,Ikeja GRA,Lagos,Mark Obi,2023-08-08,Verified
C-OF-O-F83E3ED2,80,47,Ikeja GRA,Lagos,Gabriel Olawale,2016-05-06,Verified
C-OF-O-326CE50A,33,2,GRA,Enugu,Angela Akinwale,2016-08-21,Verified
C-OF-O-7CF283E3,79,34,Ikeja GRA,Lagos,Nathaniel Balogun,2015-01-30,Verified
C-OF-O-E6801D58,98,47,Victoria Island,Lagos,Michael Akinwale,2021-06-11,Verified
C-OF-O-6A0B293D,116,7,Ikeja GRA,Lagos,Comfort Uche,2019-02-13,Verified
C-OF-O-F4980C21,105,19,New Haven,Enugu,Cornelius Eze,2024-01-30,Verified
C-OF-O-890A9599,72,48,Uwani,Enugu,Deborah Akinwale,2010-11-17,Verified
C-OF-O-ADF22365,5,2,Trans-Ekulu,Enugu,Michael Obasanjo,2012-03-14,Verified
C-OF-O-A5FC1D6D,103,34,Uwani,Enugu,James Abiola,2022-06-17,Verified
C-OF-O-A7BE5B51,126,39,Surulere,Lagos,Philip Uche,2022-09-14,Verified
C-OF-O-058A887D,12,39,Onitsha GRA,Anambra,Juliet Uche,2016-09-28,Verified
C-OF-O-C359C594,67,8,Surulere,Lagos,Esther Okonkwo,2020-11-19,Verified
C-OF-O-B721D2DA,54,14,Trans-Ekulu,Enugu,Patience Okafor,2021-07-13,Verified
C-OF-O-282BF49A,42,27,Victoria Island,Lagos,Simon Ibrahim,2015-08-22,Verified
C-OF-O-0C73764E,93,50,Ikoyi,Lagos,Hope Uche,2020-08-06,Verified
C-OF-O-5EDAA40C,190,30,New Haven,Enugu,Charity Oyekan,2024-07-02,Verified
C-OF-O-3A81DD4F,9,16,Trans-Ekulu,Enugu,Emmanuel Obasanjo,2014-12-16,Verified
C-OF-O-64DE4832,108,25,Nnewi,Anambra,Sarah Ojo,2013-02-14,Verified
C-OF-O-B033A231,55,20,Onitsha GRA,Anambra,Benjamin Balogun,2018-03-14,Verified
C-OF-O-91FDFD3F,162,50,Ikoyi,Lagos,Deborah Ojo,2023-04-22,Verified
C-OF-O-E832FC8B,148,39,Surulere,Lagos,Gabriel Oshodi,2016-07-24,Verified
C-OF-O-DEC53228,92,45,Enugu-Ukwu,Anambra,Gloria Olawale,2021-08-17,Verified
C-OF-O-CB44D801,120,26,Ikoyi,Lagos,Benjamin Abiola,2014-05-26,Verified
C-OF-O-C6C724B1,110,7,Uwani,Enugu,John Nnamani,2013-06-14,Verified
C-OF-O-96C8C3D9,156,6,Victoria Island,Lagos,Gloria Okonkwo,2019-03-02,Verified
C-OF-O-CE2658BB,159,36,New Haven,Enugu,Faith Olawale,2024-01-15,Verified
C-OF-O-1854780D,136,39,Nnewi,Anambra,Faith Okonkwo,2015-09-28,Verified
C-OF-O-A806AD38,153,37,Uwani,Enugu,Paul Oyekan,2013-09-27,Verified
C-OF-O-774F4DB4,198,34,Victoria Island,Lagos,Joy Uche,2013-04-14,Verified
C-OF-O-31C3852C,87,45,Ikoyi,Lagos,Samuel Adeyemi,2013-04-06,Verified
C-OF-O-3087ACB7,69,42,Onitsha GRA,Anambra,Peace Abiola,2017-11-21,Verified
C-OF-O-2CF798F4,139,37,Ikeja GRA,Lagos,James Ogunleye,2012-08-24,Verified
C-OF-O-54E8B330,190,47,Ikeja GRA,Lagos,Daniel Ogunleye,2024-06-13,Verified
C-OF-O-9AF8D698,44,23,Victoria Island,Lagos,Juliet Okafor,2013-09-18,Verified
C-OF-O-F22497AE,37,48,Nnewi,Anambra,Stephen Chukwu,2014-06-07,Verified
C-OF-O-792A5A15,25,2,Ikoyi,Lagos,Sarah Okafor,2018-10-11,Verified
C-OF-O-84EEA0EB,156,40,GRA,Enugu,Deborah Oshodi,2011-08-26,Verified
C-OF-O-FA3F4A25,57,18,New Haven,Enugu,Angela Chukwu,2020-11-16,Verified
C-OF-O-ACAFB5BE,39,31,Ikoyi,Lagos,Mary Adetokunbo,2021-03-05,Under Dispute
C-OF-O-13C00BE6,166,26,Uwani,Enugu,John Obi,2022-07-11,Verified
C-OF-O-9430E6A4,152,30,Victoria Island,Lagos,Elizabeth Olawale,2018-05-13,Verified
C-OF-O-13F18EAA,45,18,GRA,Enugu,Peace Ojo,2017-05-25,Verified
C-OF-O-026DDA12,78,16,Ikoyi,Lagos,Victoria Ibrahim,2011-09-28,Revoked
C-OF-O-957F96F5,129,5,Surulere,Lagos,Grace Abiola,2014-01-03,Verified
C-OF-O-81B18E04,66,8,Trans-Ekulu,Enugu,James Uche,2023-09-13,Verified
C-OF-O-C8A2BA39,150,32,Nnewi,Anambra,Ruth Ibrahim,2014-09-26,Verified
C-OF-O-7CB35656,19,4,Nnewi,Anambra,Juliet Uche,2011-08-13,Verified
C-OF-O-12416D51,194,3,Trans-Ekulu,Enugu,Joseph Obasanjo,2018-06-09,Verified
C-OF-O-24666C40,8,30,Uwani,Enugu,James Ojo,2014-04-18,Verified
C-OF-O-DBB59DDA,85,40,GRA,Enugu,Juliet Adetokunbo,2020-02-12,Verified
C-OF-O-B4D73FBC,94,32,Enugu-Ukwu,Anambra,Faith Ibrahim,2021-06-22,Verified
C-OF-O-E1F17EE2,160,41,Enugu-Ukwu,Anambra,Patience Abiola,2017-06-19,Verified
C-OF-O-11747007,66,49,Nnewi,Anambra,Elizabeth Adeyemi,2022-08-11,Verified
C-OF-O-F76559EC,35,45,Nnewi,Anambra,Patience Okafor,2019-06-20,Verified
C-OF-O-C6632FAA,175,37,Ikeja GRA,Lagos,Mark Oyekan,2016-07-24,Verified
C-OF-O-0BF6460E,33,40,Victoria Island,Lagos,Michael Nnamani,2019-09-07,Verified
C-OF-O-CE423BE4,103,28,Ikoyi,Lagos,Joy Ogunleye,2015-05-19,Verified
C-OF-O-B648F229,104,24,Trans-Ekulu,Enugu,Joshua Olawale,2019-11-10,Verified
C-OF-O-A216E0C5,147,22,Ikoyi,Lagos,John Abiola,2017-04-23,Verified
C-OF-O-D713C55A,179,32,Ikoyi,Lagos,Esther Ogunleye,2011-07-13,Verified
C-OF-O-707FCD8C,84,26,Onitsha GRA,Anambra,Faith Okafor,2020-03-29,Verified
C-OF-O-0F184C83,182,35,Onitsha GRA,Anambra,Nathaniel Nnamani,2023-02-03,Verified
C-OF-O-14C3D912,145,41,Enugu-Ukwu,Anambra,Michael Uche,2021-05-30,Verified
C-OF-O-11F91ADC,42,1,Ikoyi,Lagos,Hope Abiola,2017-07-06,Verified
C-OF-O-98C252A7,22,13,Ikoyi,Lagos,Gabriel Nnamani,2015-10-11,Pledged as Collateral
C-OF-O-BE650734,3,46,Ikoyi,Lagos,Cornelius Okonkwo,2011-04-21,Verified
C-OF-O-92E03A4B,84,6,Amawbia,Anambra,Samuel Ojo,2024-09-12,Verified
C-OF-O-023E043F,191,8,Nnewi,Anambra,Andrew Obasanjo,2017-09-07,Verified
C-OF-O-A629F086,66,40,Amawbia,Anambra,Elizabeth Obasanjo,2018-06-09,Verified
C-OF-O-F8AC9464,67,27,Amawbia,Anambra,Joy Olawale,2019-01-11,Verified
C-OF-O-27CE5014,16,28,Nnewi,Anambra,Daniel Chukwu,2012-08-05,Verified
C-OF-O-E520276B,46,46,GRA,Enugu,Sarah Uche,2012-04-21,Verified
C-OF-O-E79BC2E7,37,41,Ikeja GRA,Lagos,Philip Chukwu,2023-03-29,Verified
C-OF-O-67CBA7C1,106,34,Ikeja GRA,Lagos,Agnes Okafor,2019-08-03,Verified
C-OF-O-93A22ECE,70,19,Trans-Ekulu,Enugu,Benjamin Chukwu,2015-12-30,Verified
C-OF-O-F7C86CD4,10,20,Ikeja GRA,Lagos,Angela Okonkwo,2020-07-06,Verified
C-OF-O-5CF52F87,113,7,Onitsha GRA,Anambra,Peace Oshodi,2014-07-25,Verified
C-OF-O-CD07F245,64,32,Enugu-Ukwu,Anambra,Joy Chukwu,2019-12-20,Revoked
C-OF-O-D71D6001,183,32,Ikoyi,Lagos,Peter Obi,2018-10-24,Verified
C-OF-O-090C1542,137,1,Trans-Ekulu,Enugu,Emmanuel Balogun,2021-03-14,Verified
C-OF-O-05056EE6,147,37,Onitsha GRA,Anambra,Mary Abiola,2020-12-23,Verified
C-OF-O-E7E61F3F,144,38,Enugu-Ukwu,Anambra,James Ibrahim,2021-01-30,Verified
C-OF-O-86547E61,168,19,Ikeja GRA,Lagos,Agnes Ibrahim,2016-10-09,Verified
C-OF-O-2F54AA9E,188,15,New Haven,Enugu,James Okonkwo,2014-06-14,Verified
C-OF-O-03B4409B,4,16,Ikoyi,Lagos,Nathaniel Uche,2013-02-09,Verified
C-OF-O-107CB76F,36,12,Surulere,Lagos,Paul Abiola,2020-04-14,Verified
C-OF-O-B94E5C07,130,46,Nnewi,Anambra,Angela Akinwale,2022-08-09,Verified
C-OF-O-5C9CF1ED,35,27,GRA,Enugu,Benjamin Oyekan,2015-09-05,Verified
C-OF-O-834A7340,145,6,Trans-Ekulu,Enugu,Nathaniel Eze,2015-10-05,Verified
C-OF-O-1DDA1170,5,5,Ikoyi,Lagos,Ruth Olawale,2022-12-29,Verified
C-OF-O-F412FCC3,69,6,Victoria Island,Lagos,Simon Abiola,2014-09-06,Verified
C-OF-O-8CAAFAB7,160,45,Ikoyi,Lagos,Andrew Abiola,2015-12-17,Verified
C-OF-O-0582C60A,82,22,GRA,Enugu,Deborah Okonkwo,2011-09-03,Verified
C-OF-O-86BD9A25,159,6,Nnewi,Anambra,Faith Obasanjo,2011-11-14,Verified
C-OF-O-68650478,51,15,Surulere,Lagos,Comfort Eze,2017-05-19,Verified
C-OF-O-2DFAC13D,148,9,Onitsha GRA,Anambra,Angela Okonkwo,2022-08-20,Verified
C-OF-O-1C587EE2,156,28,Victoria Island,Lagos,Samuel Adetokunbo,2014-09-30,Verified
C-OF-O-C2EDE831,80,44,Amawbia,Anambra,Blessing Ekwueme,2024-04-11,Verified
C-OF-O-B233348E,154,30,New Haven,Enugu,Stephen Oshodi,2018-05-01,Verified
C-OF-O-5C66A06E,127,17,Surulere,Lagos,Joy Adeyemi,2024-02-03,Verified
C-OF-O-3EC3A3A2,5,11,Uwani,Enugu,Juliet Adetokunbo,2018-02-26,Verified
C-OF-O-1ADED147,165,27,Enugu-Ukwu,Anambra,Emmanuel Adetokunbo,2017-11-14,Verified
C-OF-O-C60F828F,27,9,Amawbia,Anambra,Emmanuel Uche,2018-03-05,Verified
C-OF-O-2D9647C2,124,38,Ikoyi,Lagos,Grace Oyekan,2024-08-14,Verified
C-OF-O-871A9644,168,45,Surulere,Lagos,Joseph Oyekan,2020-02-22,Verified
C-OF-O-34B7784E,142,27,Trans-Ekulu,Enugu,Elizabeth Ibrahim,2021-01-01,Verified
C-OF-O-5E8BC36F,82,43,GRA,Enugu,Mary Okonkwo,2016-05-05,Verified
C-OF-O-BD9E148A,1,40,Uwani,Enugu,Juliet Ibrahim,2021-03-11,Verified
C-OF-O-08684643,200,2,Surulere,Lagos,Victoria Nnamani,2014-06-16,Verified
C-OF-O-3A402C4B,76,33,Amawbia,Anambra,Faith Ojo,2011-02-17,Verified
C-OF-O-66D95199,9,2,Amawbia,Anambra,Mark Oshodi,2011-07-28,Verified
